Date,Open,High,Low,Close,Volume
2017-08-08,31.622391,31.745731,31.518026,31.574953,16986475
2017-08-09,31.63188,31.745731,31.461102,31.736242,15807681
2017-08-10,31.660341,31.83112,31.508539,31.707781,19062539
2017-08-11,31.783682,31.850096,31.508539,31.54649,13626639
2017-08-14,31.622391,31.660341,31.442125,31.603416,13482241
2017-08-15,31.63188,31.812143,31.555977,31.669828,18048801
2017-08-16,31.622391,31.774195,31.555977,31.650854,11128764
2017-08-17,31.58444,31.736242,31.26186,31.26186,15661175
2017-08-18,31.223909,31.280834,30.97723,30.996204,16326565
2017-08-21,30.92979,31.185959,30.664137,31.081594,17848752
2017-08-22,31.081594,31.518026,31.024668,31.451612,14178619
2017-08-23,31.375711,31.679317,31.375711,31.537003,16989953
2017-08-24,31.660341,31.688805,31.470589,31.527514,12140394
2017-08-25,31.574953,31.897533,31.527514,31.679317,15171171
2017-08-28,31.783682,31.897533,31.698292,31.755219,13033026
2017-08-29,31.717268,31.83112,31.537003,31.783682,12884096
2017-08-30,31.764706,31.764706,31.54649,31.736242,12394935
2017-08-31,31.783682,32.277039,31.764706,32.182163,27300497
2017-09-01,32.201138,32.381405,32.087288,32.220116,19160771
2017-09-05,32.144215,32.419353,32.020874,32.06831,15068616
2017-09-06,32.210625,32.362431,32.172676,32.248577,13925764
2017-09-07,32.296017,32.381405,32.077801,32.248577,18831923
2017-09-08,32.210625,32.495255,32.06831,32.35294,16276290
2017-09-11,32.343452,32.580647,32.23909,32.561668,17263993
2017-09-12,32.618595,33.918407,32.599621,33.557877,39268351
2017-09-13,33.45351,33.614799,33.178368,33.263756,22115450
2017-09-14,33.254269,34.003796,33.206833,33.899429,28907847
2017-09-15,33.776093,33.889942,33.434536,33.548386,30430139
2017-09-18,33.567364,33.728653,33.406071,33.728653,17850755
2017-09-19,33.833015,33.833015,33.538898,33.633778,16539579
2017-09-20,34.089184,34.354839,33.97533,34.146111,27066825
2017-09-21,34.212524,34.335861,34.07021,34.127136,16580579
2017-09-22,34.250473,34.269451,33.937382,34.117645,15394092
2017-09-25,34.060722,34.184059,33.624287,33.690701,23379828
2017-09-26,33.690701,33.823528,33.434536,33.491463,18508029
2017-09-27,33.444023,33.709679,33.387096,33.633778,15502759
2017-09-28,33.462997,33.946869,33.415562,33.776093,19038086
2017-09-29,33.814041,33.870968,33.538898,33.870968,16867900
2017-10-02,33.842506,34.250473,33.671726,34.222012,17541300
2017-10-03,34.174572,34.345352,33.918407,34.288425,14328392
2017-10-04,34.326378,34.383301,34.060722,34.117645,11435268
2017-10-05,34.041744,34.155598,33.918407,34.155598,14340408
2017-10-06,34.146111,34.288425,34.098671,34.203037,12711345
2017-10-09,34.212524,34.297913,34.089184,34.288425,10278081
2017-10-10,34.516129,34.639469,34.184059,34.535103,18697433
2017-10-11,34.506641,34.611008,34.345352,34.582542,18163687
2017-10-12,34.611008,34.724857,34.421253,34.487667,14750098
2017-10-13,34.506641,34.620495,34.392788,34.478176,13458842
2017-10-16,34.487667,34.611008,34.041744,34.136623,14315006
2017-10-17,34.089184,34.468693,33.918407,34.345352,14776764
2017-10-18,34.392788,34.43074,33.956356,33.994308,15196572
2017-10-19,34.051231,34.516129,34.003796,34.383301,20858028
2017-10-20,34.440228,34.554081,34.184059,34.554081,18447319
2017-10-23,34.440228,34.895638,34.440228,34.535103,15978008
2017-10-24,34.582542,34.658443,34.146111,34.411766,15826126
2017-10-25,34.345352,34.487667,34.079697,34.3074,17523488
2017-10-26,34.240986,34.364326,33.776093,33.908916,18374277
2017-10-27,33.709679,33.918407,33.586338,33.776093,15746865
2017-10-30,33.614799,33.652752,33.225807,33.349148,26679586
2017-10-31,33.254269,33.529411,32.35294,33.263756,24794085
2017-11-01,33.21632,33.899429,33.111954,33.45351,16557497
2017-11-02,33.462997,33.690701,33.235294,33.643265,13880021
2017-11-03,33.633778,33.73814,33.510437,33.728653,9358255
2017-11-06,33.766602,33.78558,33.320683,33.510437,11200542
2017-11-07,33.491463,33.605312,33.434536,33.548386,11480906
2017-11-08,33.557877,33.576851,33.235294,33.529411,14302148
2017-11-09,33.28273,33.444023,33.055027,33.396584,14088713
2017-11-10,33.301708,33.387096,33.017078,33.377609,15858589
2017-11-13,33.415562,33.662239,33.339657,33.491463,25072657
2017-11-14,33.444023,33.870968,33.415562,33.567364,17278538
2017-11-15,33.472485,33.681213,33.425049,33.548386,13646138
2017-11-16,33.529411,33.757114,33.444023,33.73814,13625901
2017-11-17,33.557877,33.671726,33.368122,33.557877,15649265
2017-11-20,33.567364,33.633778,33.462997,33.538898,12455540
2017-11-21,33.586338,33.899429,33.567364,33.719166,13333100
2017-11-22,33.633778,33.681213,33.510437,33.614799,11122967
2017-11-24,33.690701,33.73814,33.557877,33.671726,6742754
2017-11-27,33.700191,33.823528,33.567364,33.671726,10848611
2017-11-28,33.766602,34.051231,33.700191,34.013283,13687033
2017-11-29,34.098671,34.544594,34.041744,34.354839,16122827
2017-11-30,34.354839,34.611008,34.231499,34.402279,24063663
2017-12-01,34.43074,34.629982,34.165085,34.487667,19588485
2017-12-04,34.620495,34.743832,34.203037,34.212524,14847487
2017-12-05,34.079697,34.335861,33.690701,33.804554,23525912
2017-12-06,33.757114,34.041744,33.690701,33.73814,18317677
2017-12-07,33.73814,33.814041,33.349148,33.681213,16661421
2017-12-08,33.510437,33.937382,33.510437,33.908916,15705759
2017-12-11,34.193546,34.402279,33.861481,34.354839,15138497
2017-12-12,34.497154,34.933586,34.392788,34.705883,23700139
2017-12-13,34.696396,34.914612,34.601517,34.76281,16639709
2017-12-14,34.848198,35.0,34.478176,34.59203,15585393
2017-12-15,34.895638,35.322582,34.829224,35.294117,39820015
2017-12-18,35.313091,35.436432,35.161289,35.227703,17670415
2017-12-19,35.294117,35.322582,34.990513,35.04744,14817659
2017-12-20,35.094875,35.23719,34.554081,34.59203,15914557
2017-12-21,34.667931,34.724857,34.335861,34.383301,15566948
2017-12-22,34.411766,34.516129,34.203037,34.288425,9063557
2017-12-26,34.240986,34.411766,34.108158,34.354839,11480590
2017-12-27,34.449715,34.59203,34.373814,34.468693,8768964
2017-12-28,34.497154,34.658443,34.392788,34.506641,6939431
2017-12-29,34.373814,34.620495,34.364326,34.364326,12038261
2018-01-02,34.516129,34.648956,34.383301,34.573055,17059833
2018-01-03,34.582542,34.886147,34.373814,34.829224,14183151
2018-01-04,34.829224,35.028461,34.724857,34.905125,13046517
2018-01-05,34.933586,34.990513,34.734344,34.971539,13167517
2018-01-08,34.838711,34.914612,34.468693,34.582542,19964341
2018-01-09,34.573055,34.76281,34.497154,34.544594,16876226
2018-01-10,34.478176,34.734344,34.449715,34.601517,18755825
2018-01-11,34.76281,34.819733,34.554081,34.686909,15102555
2018-01-12,34.753323,34.914612,34.59203,34.667931,20240700
2018-01-16,34.696396,35.085388,34.601517,34.724857,30536699
2018-01-17,34.933586,35.455406,34.886147,35.275143,25332363
2018-01-18,35.265656,35.265656,34.819733,35.094875,19946528
