Date,Open,High,Low,Close,Volume
2017-04-05,55.790001,56.200001,54.93,54.98,17411700
2017-04-06,54.950001,55.650002,54.709999,55.369999,10387500
2017-04-07,54.939999,55.310001,54.610001,54.84,15848800
2017-04-10,54.990002,55.25,54.32,54.540001,14607700
2017-04-11,54.23,54.259998,53.27,54.16,28086800
2017-04-12,53.950001,54.02,53.049999,53.119999,25601300
2017-04-13,51.799999,52.75,51.349998,51.349998,47982000
2017-04-17,51.639999,52.759998,51.259998,52.720001,31959100
2017-04-18,52.360001,52.669998,52.09,52.450001,22257500
2017-04-19,52.880001,53.139999,52.049999,52.150002,17414600
2017-04-20,52.720001,53.59,52.43,53.5,31552900
2017-04-21,53.389999,53.84,52.950001,53.0,26177300
2017-04-24,54.150002,54.34,53.59,53.650002,23856700
2017-04-25,54.330002,55.09,54.290001,54.560001,27061300
2017-04-26,54.599998,55.07,54.360001,54.540001,15915500
2017-04-27,54.540001,54.650002,53.91,54.439999,13978000
2017-04-28,54.330002,54.580002,53.73,53.84,16501900
2017-05-01,54.099998,54.75,53.970001,54.459999,13915800
2017-05-02,54.459999,54.610001,54.060001,54.540001,15634900
2017-05-03,54.009998,54.889999,53.950001,54.849998,15737100
2017-05-04,55.27,55.599998,54.869999,55.18,17054100
2017-05-05,55.25,55.389999,54.880001,55.110001,13078800
2017-05-08,55.119999,55.290001,54.75,55.040001,14242800
2017-05-09,55.139999,55.369999,54.450001,54.68,14402900
2017-05-10,54.43,54.91,54.360001,54.720001,15897200
2017-05-11,54.279999,54.419998,53.060001,53.740002,32200100
2017-05-12,53.299999,53.32,52.540001,53.02,29642300
2017-05-15,53.060001,53.419998,53.02,53.32,15245000
2017-05-16,53.400002,53.439999,52.950001,53.259998,12650100
2017-05-17,53.259998,53.259998,51.650002,52.240002,33173100
2017-05-18,52.310001,52.959999,51.950001,52.380001,19790100
2017-05-19,52.57,53.34,52.389999,53.060001,16895000
2017-05-22,53.27,53.32,52.5,53.009998,13947000
2017-05-23,53.009998,53.560001,52.849998,53.389999,11751700
2017-05-24,53.490002,53.610001,52.799999,53.09,11304400
2017-05-25,53.25,53.25,52.57,52.779999,16643800
2017-05-26,52.630001,52.810001,52.369999,52.41,14247700
2017-05-30,52.16,52.5,51.900002,52.16,19379700
