Date,Open,High,Low,Close,Adj Close,Volume
2017-04-05,28.119907,28.684517,27.118744,27.165308,27.165308,1844445
2017-04-06,27.264261,27.753201,26.973225,27.601864,27.601864,1634677
2017-04-07,27.415600,27.689173,27.130384,27.526194,27.526194,800588
2017-04-10,27.724098,28.492434,27.706636,28.364376,28.364376,1957661
2017-04-11,28.026775,28.125729,27.328289,27.596043,27.596043,1788094
2017-04-12,27.473806,27.473806,26.699652,26.746218,26.746218,2083762
2017-04-13,26.676369,26.996508,26.187428,26.187428,26.187428,1968828
2017-04-17,26.286381,26.670547,26.105936,26.629803,26.629803,1106220
2017-04-18,26.408615,26.810244,26.228172,26.786963,26.786963,1449305
2017-04-19,26.984865,27.351572,26.880093,27.060535,27.060535,2469110
2017-04-20,27.310827,28.149010,27.124563,28.131548,28.131548,2915446
2017-04-21,28.108265,28.469151,27.799767,28.178114,28.178114,2430455
2017-04-24,28.719440,29.103609,28.608847,28.870781,28.870781,2204194
2017-04-25,29.103609,29.749708,28.888243,29.103609,29.103609,3285160
2017-04-26,29.045403,29.295692,28.742723,29.051222,29.051222,1729167
2017-04-27,29.132711,29.586729,29.022120,29.388824,29.388824,2119840
2017-04-28,29.429569,29.429569,28.742723,28.748545,28.748545,1389175
2017-05-01,28.864960,29.313154,28.719440,29.249126,29.249126,2315177
2017-05-02,29.278231,29.342258,28.742723,29.202560,29.202560,1954740
2017-05-03,29.022120,29.208382,28.335274,28.387659,28.387659,3744896
2017-05-04,29.284052,30.750874,29.284052,30.646099,30.646099,6276369
2017-05-05,30.681025,31.740396,30.628637,31.734575,31.734575,5346072
2017-05-08,31.740396,31.839348,31.164145,31.461000,31.461000,2791406
2017-05-09,31.495926,32.194412,31.350407,32.188591,32.188591,2678877
2017-05-10,32.200233,32.398136,31.653086,31.763680,31.763680,2953757
2017-05-11,31.612341,31.909197,30.855646,31.833527,31.833527,2050261
2017-05-12,32.048893,32.130383,31.274738,31.309662,31.309662,1956115
2017-05-15,31.379511,31.862631,31.327126,31.688009,31.688009,1536923
2017-05-16,31.722935,31.891735,31.385332,31.746218,31.746218,1842383
2017-05-17,31.111757,31.135040,30.087311,30.407452,30.407452,2247831
2017-05-18,30.308498,30.873108,30.162979,30.611176,30.611176,2120699
2017-05-19,30.750874,31.158323,30.634459,30.727591,30.727591,2112625
2017-05-22,31.012806,31.111757,30.698486,31.047729,31.047729,1456177
2017-05-23,31.175785,31.245634,30.681025,30.902212,30.902212,1607189
2017-05-24,31.094296,31.239815,30.803261,30.942957,30.942957,1262558
2017-05-25,31.175785,31.449360,30.797440,31.233994,31.233994,2049402
2017-05-26,31.041908,31.169966,30.622816,30.774157,30.774157,1435561
2017-05-30,30.779978,31.105936,30.529686,30.739231,30.739231,1082340
2017-05-31,31.001163,31.030268,30.186262,30.616997,30.616997,1531769
2017-06-01,30.849825,31.513388,30.622816,31.338766,31.338766,2540235
2017-06-02,31.461000,32.013969,31.268917,31.693830,31.693830,3110783
2017-06-05,31.897554,33.993015,31.874271,33.626308,33.626308,5954760
2017-06-06,33.323631,34.447029,33.003490,34.284050,34.284050,2722686
2017-06-07,34.342258,35.110596,34.010475,34.918510,34.918510,4108082
2017-06-08,35.058208,35.227009,34.516880,34.586727,34.586727,2744677
2017-06-09,34.697323,35.058208,33.818394,34.464493,34.464493,3147720
2017-06-12,34.627476,35.256111,34.214203,34.627476,34.627476,3126760
2017-06-13,34.749710,35.686844,34.394646,35.681023,35.681023,4949902
2017-06-14,35.797440,35.995342,35.285213,35.570431,35.570431,2931595
2017-06-15,35.081490,35.552971,34.871944,35.547150,35.547150,1748237
2017-06-16,35.238651,35.942959,35.168800,35.809078,35.809078,2524601
2017-06-19,36.088474,36.816067,35.937138,36.682190,36.682190,2819066
2017-06-20,36.641445,36.845169,36.123398,36.286381,36.286381,2151795
2017-06-21,36.169964,36.728752,35.908031,36.641445,36.641445,2168803
2017-06-22,36.664726,36.670547,35.640278,35.745052,35.745052,3107347
2017-06-23,35.896393,36.763680,35.675205,36.135040,36.135040,19268744
2017-06-26,36.426079,36.583237,35.442375,35.599533,35.599533,2863562
2017-06-27,35.646099,36.053551,35.401630,35.413273,35.413273,2091493
2017-06-28,36.199070,37.729919,36.088474,37.450523,37.450523,4470580
2017-06-29,37.596043,38.090801,37.194412,37.694996,37.694996,2751205
2017-06-30,37.881256,37.997673,37.409779,37.619324,37.619324,1887395
2017-07-03,37.735741,37.892899,37.293365,37.665890,37.665890,1629179
2017-07-05,37.747379,37.916183,37.200233,37.293365,37.293365,3061132
2017-07-06,36.897556,37.305004,36.461002,36.891735,36.891735,4299295
2017-07-07,37.095459,37.188591,36.664726,37.112923,37.112923,2498659
2017-07-10,36.932480,37.211872,36.193249,36.239815,36.239815,3297014
2017-07-11,36.565773,37.252621,36.431896,36.682190,36.682190,5585046
2017-07-12,37.013969,37.235157,36.623981,36.705471,36.705471,2115889
2017-07-13,36.769501,36.979046,36.385330,36.647263,36.647263,5516154
2017-07-14,36.647263,37.305004,36.647263,37.159489,37.159489,1632272
2017-07-17,36.379513,36.490105,34.383003,35.192085,35.192085,7801438
2017-07-18,35.157158,35.663563,34.889404,35.634460,35.634460,2997910
2017-07-19,35.692665,35.931316,35.023281,35.221188,35.221188,4169071
2017-07-20,35.518044,35.791618,35.180443,35.215366,35.215366,15022192
2017-07-21,35.087311,35.558788,34.668221,35.314320,35.314320,3386522
2017-07-24,35.221188,35.669384,35.116413,35.360886,35.360886,2443511
2017-07-25,35.646099,36.030270,35.325958,35.844006,35.844006,3879931
2017-07-26,35.966240,36.216530,35.622818,35.867287,35.867287,2678362
2017-07-27,35.873108,35.966240,34.057041,34.511059,34.511059,4196215
2017-07-28,34.452850,35.011642,34.423748,34.976719,34.976719,3528772
2017-07-31,35.174622,35.325958,34.627476,34.988358,34.988358,2037204
2017-08-01,35.034924,35.093132,34.051224,34.266590,34.266590,2921974
2017-08-02,34.249126,34.452850,33.655415,34.318977,34.318977,3547842
2017-08-03,34.342258,35.419090,33.684517,33.835857,33.835857,4469721
2017-08-04,33.911526,34.307335,33.463329,33.579742,33.579742,3847117
2017-08-07,33.701981,33.940628,33.568104,33.777649,33.777649,3369513
2017-08-08,33.824215,33.946449,33.399303,33.573921,33.573921,2480277
2017-08-09,33.253784,33.585564,33.003490,33.405121,33.405121,3101677
2017-08-10,33.230499,33.538998,31.973225,32.008148,32.008148,3818942
2017-08-11,31.722935,32.613503,31.629803,32.380676,32.380676,2942590
2017-08-14,32.759022,33.492432,32.584400,33.405121,33.405121,4870530
2017-08-15,33.393482,33.405121,32.852154,32.933643,32.933643,1848912
2017-08-16,33.032597,33.166473,32.526192,32.555298,32.555298,2600880
2017-08-17,32.572758,32.945286,32.165310,32.200233,32.200233,2370153
2017-08-18,32.176949,32.462166,31.845169,32.275902,32.275902,2175847
2017-08-21,32.275902,32.566936,32.147846,32.328289,32.328289,1748752
2017-08-22,32.537834,33.684517,32.537834,33.620487,33.620487,2598475
2017-08-23,33.294529,33.626308,32.951107,33.463329,33.463329,2620465
2017-08-24,33.527355,33.661236,32.840511,33.032597,33.032597,1704600
2017-08-25,33.247963,34.167637,33.149010,34.027939,34.027939,2009545
2017-08-28,34.126892,34.377182,33.812572,34.173458,34.173458,1614233
2017-08-29,33.806751,34.796276,33.469151,34.784634,34.784634,2095788
2017-08-30,34.871944,35.820721,34.837021,35.750874,35.750874,2977981
2017-08-31,35.937138,35.983704,35.151340,35.622818,35.622818,2832295
2017-09-01,35.791618,36.135040,35.605354,36.047729,36.047729,1706318
2017-09-05,35.908031,36.187428,35.552971,36.041908,36.041908,2439045
