MSFT
NVDA
AAPL
AMZN
META
GOOGL
GOOG
AVGO
BRK-B
LLY
JPM
TSLA
XOM
UNH
V
PG
COST
MA
JNJ
HD
MRK
ABBV
WMT
NFLX
BAC
CVX
AMD
KO
QCOM
PEP
ORCL
CRM
TMO
LIN
ADBE
WFC
AMAT
CSCO
MCD
DIS
ABT
TXN
ACN
GE
DHR
VZ
INTU
CAT
AMGN
PM
MU
PFE
IBM
NEE
CMCSA
ISRG
UBER
NOW
GS
SPGI
RTX
HON
LRCX
UNP
BKNG
ETN
COP
LOW
INTC
AXP
ELV
T
VRTX
TJX
MS
PGR
ADI
SYK
NKE
C
BSX
KLAC
SCHW
MDT
REGN
BLK
CB
PLD
BA
MMC
PANW
ADP
LMT
DE
CI
UPS
TMUS
AMT
SBUX
CMG
SNPS
MDLZ
FI
BX
SO
BMY
CDNS
ANET
APH
MO
ZTS
GILD
DUK
CL
MCK
ICE
CVS
TT
WM
TDG
EQIX
NXPI
SHW
CME
CEG
EOG
FCX
PH
HCA
BDX
TGT
GD
PYPL
ITW
MCO
CSX
ABNB
APD
MPC
SLB
MSI
EMR
ECL
USB
PNC
NOC
CTAS
MAR
PSX
AON
ORLY
ROP
WELL
FDX
AJG
MMM
PCAR
GM
CARR
HLT
EW
AIG
COF
VLO
WMB
MCHP
NSC
SPG
ROST
AZO
TFC
MRNA
JCI
DLR
SRE
GEV
ADSK
TRV
KMB
NEM
TEL
F
AEP
CPRT
AFL
OKE
FIS
PSA
BK
O
DXCM
HUM
SMCI
DHI
AMP
CCI
D
URI
MET
ALL
IDXX
LHX
STZ
PRU
GWW
PWR
AME
OTIS
HES
OXY
PAYX
DOW
PCG
IQV
MPWR
YUM
COR
FTNT
RSG
LEN
MSCI
IR
KMI
A
VRSK
NUE
GIS
CNC
CMI
ACGL
FAST
RCL
PEG
CTVA
MNST
KDP
LULU
SYY
EXC
MLM
KVUE
DD
FANG
FICO
BIIB
VMC
IT
XYL
EA
EXR
KR
GEHC
HWM
CTSH
ADM
DAL
ON
MTD
BKR
HPQ
ED
FSLR
RMD
ODFL
CSGP
DFS
PPG
TSCO
HAL
CDW
EFX
HIG
ROK
VST
XEL
WAB
VICI
DVN
GLW
ANSS
EIX
AVB
HSY
EBAY
HPE
DG
CHTR
TRGP
EL
CBRE
DECK
NTAP
WTW
CHD
KHC
TROW
FTV
IRM
WDC
DOV
AWK
TTWO
WST
GRMN
WEC
CAH
PHM
NVR
GPN
LYB
IFF
FITB
KEYS
MTB
DTE
BR
ETR
EQR
TER
NDAQ
ZBH
DLTR
VLTO
RJF
STE
STT
BRO
SBAC
WY
BALL
APTV
PTC
AXON
PPL
HUBB
ES
CTRA
STX
INVH
VTR
FE
TYL
GPC
LDOS
CNP
ULTA
ALGN
COO
BLDR
TDY
STLD
AVY
DPZ
ARE
CPAY
AEE
EXPD
NRG
MOH
CINF
CBOE
DRI
HBAN
ENPH
OMC
ESS
SYF
J
WAT
CMS
RF
ATO
ILMN
NTRS
BAX
UAL
MKC
BBY
SWKS
PFG
HOLX
LUV
TXT
LH
CCL
EQT
CLX
PKG
EXPE
LVS
MRO
WBD
EG
CFG
MAA
VRSN
WRB
ZBRA
IP
K
JBL
MAS
DGX
TSN
FDS
IEX
BG
AMCR
CE
SNA
PODD
CF
TRMB
DOC
GEN
RVTY
CAG
L
ROL
AKAM
POOL
SWK
AES
JBHT
PNR
HST
WRK
KEY
ALB
LYV
NDSN
LNT
VTRS
KIM
LW
EVRG
EMN
TECH
UDR
INCY
JKHY
UHS
IPG
NI
CPT
SJM
JNPR
KMX
WBA
MGM
QRVO
LKQ
CRL
ALLE
NWSA
AOS
EPAM
REG
CTLT
BBWI
FFIV
TFX
CHRW
TPR
HII
TAP
MOS
HRL
AIZ
APA
WYNN
HSIC
PNW
BXP
MTCH
CPB
GNRC
FOXA
CZR
BWA
DAY
BF-B
DVA
MKTX
SOLV
AAL
FRT
NCLH
RL
HAS
ETSY
FMC
PAYC
GL
RHI
IVZ
CMA
BEN
BIO
MHK
PARA
FOX
NWS
DDOG
