Ticker,NumDays,LSTMTopLayer,TrainingRMSE,TestRMSE,LastDayValue,NextDayValue,file_name
RHHBY,7,64,0.9654042627264164,1.2002803800234871,51.37239456176758,55.27066421508789,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/RHHBY.csv
PFE,7,32,1.152125505302923,1.987940425033182,54.67269134521485,58.300106048583984,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/PFE.csv
PFE,7,64,1.1141663640941726,2.0134691840709524,54.581146240234375,58.2285270690918,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/PFE.csv
DAL,7,32,2.072598761031696,2.9557656035633006,37.62409591674805,37.68062210083008,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/DAL.csv
DAL,7,64,1.9928280241229184,2.934008105545661,37.238067626953125,38.44783020019531,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/DAL.csv
AAPL,7,32,4.133332613093484,6.613249859317782,175.93975830078125,187.06602478027344,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/AAPL.csv
AAPL,7,64,3.691910578385134,5.949005834229612,172.84165954589844,179.46607971191406,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/AAPL.csv
JNJ,7,32,2.8505882561213705,1.7695369206598706,179.420654296875,190.03321838378903,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/JNJ.csv
JNJ,7,64,2.757763860424295,1.9425924226383595,178.6717071533203,187.16168212890625,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/weekly_stock_data_4_april/JNJ.csv
C,3,32,1.2760859853101665,0.8288355173339781,58.813663482666016,60.44868850708008,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/C.csv
C,7,32,1.2854892880377216,0.9500145453335318,58.78107833862305,60.48486328125,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/C.csv
C,3,64,1.2404449365477883,0.5929880441894468,59.04951095581055,61.18229293823242,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/C.csv
C,7,64,1.2264540667815056,0.7259201057069947,59.02162551879883,61.02140426635742,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/C.csv
BAC,3,32,0.6343341485598305,0.5321427576904298,23.74464225769043,24.39268112182617,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/BAC.csv
BAC,7,32,0.65341610686718,0.6528734768416662,23.840229034423828,24.709779739379883,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/BAC.csv
